datetime,person,engagement,facial_expression
2025-03-05 10:31:50.041705923,0,0.8078992947494278,frowning
2025-03-05 10:31:50.041705923,2,0.8235629248110377,neutral
2025-03-05 10:31:50.041705923,3,0.6177605528963963,admired
2025-03-05 10:31:50.041705923,1,0.749718450272967,neutral
2025-03-05 10:31:50.142267001,1,0.749718450272967,neutral
2025-03-05 10:31:50.142267001,3,0.6177605528963963,admired
2025-03-05 10:31:50.142267001,2,0.8235629248110377,neutral
2025-03-05 10:31:50.142267001,0,0.8078992947494278,frowning
2025-03-05 10:31:50.230997363,3,0.6177605528963963,admired
2025-03-05 10:31:50.230997363,0,0.8078992947494278,frowning
2025-03-05 10:31:50.230997363,2,0.8235629248110377,neutral
2025-03-05 10:31:50.230997363,1,0.749718450272967,neutral
2025-03-05 10:31:50.323952982,3,0.6177605528963963,admired
2025-03-05 10:31:50.323952982,1,0.749718450272967,neutral
2025-03-05 10:31:50.323952982,0,0.8078992947494278,frowning
2025-03-05 10:31:50.323952982,2,0.8235629248110377,neutral
2025-03-05 10:31:50.416063549,1,0.749718450272967,neutral
2025-03-05 10:31:50.416063549,3,0.6177605528963963,admired
2025-03-05 10:31:50.416063549,2,0.8235629248110377,neutral
2025-03-05 10:31:50.416063549,0,0.8078992947494278,frowning
2025-03-05 10:31:50.526765240,3,0.6177605528963963,admired
2025-03-05 10:31:50.526765240,1,0.749718450272967,neutral
2025-03-05 10:31:50.526765240,2,0.8235629248110377,neutral
2025-03-05 10:31:50.526765240,0,0.8078992947494278,frowning
2025-03-05 10:31:50.620565909,1,0.749718450272967,neutral
2025-03-05 10:31:50.620565909,2,0.8235629248110377,neutral
2025-03-05 10:31:50.620565909,0,0.8078992947494278,frowning
2025-03-05 10:31:50.620565909,3,0.6177605528963963,admired
2025-03-05 10:31:50.717746783,2,0.8235629248110377,neutral
2025-03-05 10:31:50.717746783,0,0.8078992947494278,frowning
2025-03-05 10:31:50.717746783,3,0.6177605528963963,admired
2025-03-05 10:31:50.717746783,1,0.749718450272967,neutral
2025-03-05 10:31:50.810702401,3,0.6177605528963963,admired
2025-03-05 10:31:50.810702401,0,0.8078992947494278,frowning
2025-03-05 10:31:50.810702401,1,0.749718450272967,neutral
2025-03-05 10:31:50.810702401,2,0.8235629248110377,neutral
2025-03-05 10:31:50.904503070,3,0.6177605528963963,admired
2025-03-05 10:31:50.904503070,0,0.8078992947494278,frowning
2025-03-05 10:31:50.904503070,1,0.749718450272967,neutral
2025-03-05 10:31:50.904503070,2,0.8235629248110377,neutral
2025-03-05 10:31:50.995768586,3,0.6177605528963963,admired
2025-03-05 10:31:50.995768586,2,0.8235629248110377,neutral
2025-03-05 10:31:50.995768586,0,0.8078992947494278,frowning
2025-03-05 10:31:50.995768586,1,0.749718450272967,neutral
2025-03-05 10:31:51.081118745,3,0.6177605528963963,admired
2025-03-05 10:31:51.081118745,1,0.749718450272967,neutral
2025-03-05 10:31:51.081118745,0,0.8078992947494278,frowning
2025-03-05 10:31:51.081118745,2,0.8235629248110377,neutral
2025-03-05 10:31:51.179144669,1,0.749718450272967,neutral
2025-03-05 10:31:51.179144669,3,0.6177605528963963,admired
2025-03-05 10:31:51.179144669,2,0.8235629248110377,neutral
2025-03-05 10:31:51.179144669,0,0.8078992947494278,frowning
2025-03-05 10:31:51.276325543,0,0.8078992947494278,frowning
2025-03-05 10:31:51.276325543,2,0.8235629248110377,neutral
2025-03-05 10:31:51.276325543,1,0.749718450272967,neutral
2025-03-05 10:31:51.276325543,3,0.6177605528963963,admired
2025-03-05 10:31:51.363365804,2,0.8235629248110377,neutral
2025-03-05 10:31:51.363365804,1,0.749718450272967,neutral
2025-03-05 10:31:51.363365804,3,0.6177605528963963,admired
2025-03-05 10:31:51.363365804,0,0.8078992947494278,frowning
2025-03-05 10:31:51.458011524,2,0.8235629248110377,neutral
2025-03-05 10:31:51.458011524,1,0.749718450272967,neutral
2025-03-05 10:31:51.458011524,3,0.6177605528963963,admired
2025-03-05 10:31:51.458011524,0,0.8078992947494278,frowning
2025-03-05 10:31:51.547586938,2,0.8235629248110377,neutral
2025-03-05 10:31:51.547586938,1,0.749718450272967,smilling
2025-03-05 10:31:51.547586938,3,0.6177605528963963,admired
2025-03-05 10:31:51.547586938,0,0.8078992947494278,frowning
2025-03-05 10:31:51.629556892,3,0.6177605528963963,admired
2025-03-05 10:31:51.629556892,2,0.8235629248110377,neutral
2025-03-05 10:31:51.629556892,1,0.749718450272967,smilling
2025-03-05 10:31:51.629556892,0,0.8078992947494278,frowning
2025-03-05 10:31:51.723357562,2,0.8235629248110377,neutral
2025-03-05 10:31:51.723357562,0,0.8078992947494278,frowning
2025-03-05 10:31:51.723357562,1,0.749718450272967,smilling
2025-03-05 10:31:51.723357562,3,0.6177605528963963,admired
2025-03-05 10:31:51.803637414,3,0.6177605528963963,admired
2025-03-05 10:31:51.803637414,1,0.749718450272967,smilling
2025-03-05 10:31:51.803637414,0,0.8078992947494278,frowning
2025-03-05 10:31:51.803637414,2,0.8235629248110377,neutral
2025-03-05 10:31:51.894057879,1,0.749718450272967,smilling
2025-03-05 10:31:51.894057879,2,0.8235629248110377,neutral
2025-03-05 10:31:51.894057879,0,0.8078992947494278,frowning
2025-03-05 10:31:51.894057879,3,0.6177605528963963,admired
2025-03-05 10:31:51.981943191,1,0.749718450272967,smilling
2025-03-05 10:31:51.981943191,3,0.6177605528963963,admired
2025-03-05 10:31:51.981943191,0,0.8078992947494278,frowning
2025-03-05 10:31:51.981943191,2,0.8235629248110377,neutral
2025-03-05 10:31:52.067293349,2,0.8235629248110377,smilling
2025-03-05 10:31:52.067293349,1,0.749718450272967,smilling
2025-03-05 10:31:52.067293349,3,0.6177605528963963,admired
2025-03-05 10:31:52.067293349,0,0.8078992947494278,frowning
2025-03-05 10:31:52.152643508,1,0.749718450272967,smilling
2025-03-05 10:31:52.152643508,0,0.8078992947494278,frowning
2025-03-05 10:31:52.152643508,2,0.8235629248110377,smilling
2025-03-05 10:31:52.152643508,3,0.6177605528963963,admired
2025-03-05 10:31:52.243909024,2,0.8235629248110377,smilling
2025-03-05 10:31:52.243909024,0,0.8078992947494278,frowning
2025-03-05 10:31:52.243909024,3,0.6177605528963963,admired
2025-03-05 10:31:52.243909024,1,0.749718450272967,smilling
2025-03-05 10:31:52.348695357,3,0.6177605528963963,admired
2025-03-05 10:31:52.348695357,1,0.749718450272967,smilling
2025-03-05 10:31:52.348695357,2,0.8235629248110377,smilling
2025-03-05 10:31:52.348695357,0,0.8078992947494278,frowning
2025-03-05 10:31:52.445031180,1,0.749718450272967,smilling
2025-03-05 10:31:52.445031180,2,0.8235629248110377,smilling
2025-03-05 10:31:52.445031180,0,0.8078992947494278,frowning
